(0.0002453063865,-0.0009668304033)
(0.001874479863,-0.002156570085)
(-0.001532005675,0.0002386755526)
(-0.003896068517,-0.0006322880175)
(0.0002579556427,0.0009357354797)
(-0.00267681062,-0.0007082482453)
(-0.0005780893194,8.421175093e-06)
(-0.000688094014,0.0002178161467)
(0.003491222459,0.003175307806)
(0.0004572408087,5.428007073e-05)
(0.001112514444,0.001679298604)
(-0.001951015867,0.0005331451845)
(-0.001199814848,-0.0004646511943)
(-0.000223231912,-0.0001864463592)
(-0.000787302096,-1.770364316e-05)
(0.001278120861,0.00065635376)
(-0.0004674982292,-0.0003562992565)
(-0.002292589538,0.002326490251)
(-0.001493154076,0.008219765585)
(0.003804790445,-0.007921193276)
(-0.00214205682,0.0007757098995)
(-0.000693331502,0.001006869106)
(-0.0001191209499,-0.0009175311453)
(-0.00192586413,0.0002845855508)
(-5.91747583e-05,0.000402589317)
(0.001328566113,-0.00202046068)
(0.001405148727,-0.001114741076)
(-6.570833491e-05,-9.731478155e-05)
(-0.0004890740511,0.0009222857245)
(0.001649427114,-0.0004362251523)
(-0.001926130375,0.003206963001)
(0.003119199966,-0.0007010953341)
(-0.005289002564,0.009762715289)
(0.00137436898,-0.002121078621)
(0.0001671986892,-2.255130713e-05)
(-0.001205025726,0.001131222403)
(0.001784585119,0.0004819692423)
(-0.0004193740247,-0.0003294160551)
(-0.0001817848126,-0.0004311861025)
(0.001931886359,0.0002863934815)
(0.001068189091,-0.0005124235428)
(0.0002603451355,-0.002530984425)
(0.00074726114,0.0001674243261)
(3.500195845e-05,-0.0003839952237)
(0.0002471960399,-2.496471527e-05)
(0.001806933382,3.878059336e-05)
(0.006211255054,-0.01652289188)
(-0.01002214027,0.007784107619)
(-0.000285642524,0.0002575407154)
(-0.0002480402034,-0.0009317046398)
(-0.004081909708,-0.001245471977)
(-0.004680032444,0.01464573017)
(-0.0007834270967,-0.001924933327)
(0.0002099242364,0.001107688951)
(0.0006130369954,0.0002865876433)
(0.001632002652,-0.00188696719)
(0.000603756107,0.0009888570183)
(-0.0004000720611,-0.0006773000407)
(-0.0007170505368,0.0004877781735)
(0.0007372571879,-0.0001980309542)
(-0.004372277282,0.007659625012)
(-0.001016547368,0.001755506846)
(-0.0006949242322,-6.365619423e-05)
(0.001308206238,0.0003961726114)
(-0.001306942089,-0.004719220712)
(0.001707239784,0.0003557370992)
(0.003895672489,-0.002998774088)
(-0.001803926844,-0.001221347265)
(0.004053243675,0.001519273948)
(-0.0007943442312,-0.00237408279)
(0.004550086041,0.00262159147)
(0.001062513541,0.001138179153)
(0.00351752604,-0.008256565184)
(0.001485771114,-0.004573677655)
(0.0008928090146,-0.0007662607407)
(-0.007881487733,-0.004458598788)
(0.001018503597,-0.000990828152)
(0.001576669696,-0.0001542495801)
(-0.001789929211,0.002299670741)
(0.0001917650169,0.0001204033764)
(0.001068451056,0.001362168721)
(-0.002308799733,7.560867042e-05)
(0.001168063831,0.0004715607821)
(0.0006255038021,0.001469905923)
(0.0007644669689,-0.001475140255)
(0.0008380834916,-0.0006978621686)
(0.005077273658,-0.008098904075)
(-0.0001577032171,-0.001424791762)
(-0.002191306669,0.0005864491395)
(-0.0003093963854,-0.0003430873982)
(0.003501842853,-0.001287170115)
(-0.003717373004,0.005182869872)
(0.0006619709353,-0.0008298806346)
(-0.001370711432,-0.001832260962)
(-0.0001144855583,-0.001029461232)
(-0.006162325214,7.945566314e-05)
