(5.047923698e-07,-1.050259388e-05)
(1.797124708e-05,-1.328960802e-05)
(-1.298425816e-05,-3.1217314e-06)
(-3.053673442e-06,-2.670403643e-05)
(1.336854983e-05,-1.093970358e-05)
(1.956783315e-05,-2.406002496e-05)
(-2.103079831e-05,2.633520432e-06)
(-1.913334168e-06,-4.267316717e-06)
(0.0001498947941,-9.352805479e-05)
(9.880196662e-06,-2.938248741e-06)
(-1.694176053e-05,-7.505480566e-06)
(6.507239831e-05,-2.37262597e-05)
(-1.004966072e-05,1.871998644e-05)
(1.377788143e-05,-3.65545773e-05)
(1.732169972e-05,2.867918242e-05)
(-2.874164989e-05,4.193626918e-06)
(7.414009626e-06,-1.904908321e-05)
(3.217507481e-05,-6.662988701e-06)
(8.21729523e-05,-0.0001627583424)
(9.184064977e-07,1.986583093e-05)
(-3.000067366e-06,-1.809964739e-05)
(6.26955608e-06,6.66984913e-06)
(1.105816468e-05,-4.174787916e-05)
(-1.811546394e-06,3.950760121e-05)
(-2.311032931e-06,-2.77002495e-05)
(0.0001575105815,2.982554985e-05)
(3.992194396e-05,-3.639527486e-05)
(5.80326522e-06,9.401816961e-06)
(-7.502159472e-06,2.40823758e-05)
(-1.28786923e-05,-9.452342613e-07)
(8.861775697e-05,-0.0001350002267)
(9.583545734e-05,-0.0002715248029)
(0.0001647258192,-0.0002502827116)
(-3.055463059e-06,-7.265843507e-06)
(2.813444427e-06,-1.866287288e-06)
(-1.51136119e-05,-0.0001012002221)
(1.389041135e-06,-3.755480402e-05)
(1.679322477e-06,1.62034457e-06)
(-1.26364725e-05,-1.167781566e-05)
(5.891269632e-06,-1.897940857e-05)
(2.684144728e-06,1.295623226e-05)
(-1.13412464e-05,-7.08445083e-05)
(-5.336817698e-05,-4.473898884e-05)
(1.157105518e-05,-4.02914378e-05)
(4.13633119e-07,1.620299861e-06)
(1.055047092e-06,4.898466423e-06)
(0.0002757530967,-0.0001829340093)
(-1.615342265e-05,6.781142941e-05)
(-6.315532451e-06,-9.865786164e-06)
(2.452118285e-06,1.703211339e-05)
